,,,,P N   t r i p l e t s,,
,2;PL,skwanE wanA,nskwanE wanA,nxkwanH wanJ,xkwanH wanJ,
,3;PL,skwanE renqA,nskwanE renqE,nxkwanH renqJ,xkwanH renqJ,
,,,,,,
[12],nchin1,knotted,tv,h-lh-l,h-h-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,nchinA,nchinI,nchinA,kchinA,
,2;SG,nchinI,nchinI,nchinG,kchinG,
,3;SG,nchinE,nchinE,nchinH,kchinH,
,1;PL;INCL,nchinEinE,nchinEinE,nchinEinE,kchinEinE,
,1;PL;EXCL,nchinE waG,nchinE waG,nchinE waG,kchinE waG,
,2;PL,nchinE wanJ,nchinE wanJ,nchinE wanJ,knchinE wanJ,
,3;PL,nchinE renqJ,nchinE renqJ,nchinE renqJ,knchinE renqJ,
,,,,,,
[13],nkwi1,flew,iv,h-lh-l,h-h-ms,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,nkwenA,ntkwenH,ntykwenH,tykwenA,
,2;SG,nkwiG,ntkwiG,ntykwiG,tykwiG,
,3;SG,nkwiE,ntkwiE,ntykwiH,tykwiH,
,1;PL;INCL,nkwenEenE,ntkwenEenE,ntykwenHenI,tykwenHenI,
,1;PL;EXCL,nkwiE waG,ntkwiE waG,ntykwiH waG,tykwiH waG,
,2;PL,nkwiE wanJ,ntkwiE wanJ,ntykwiH wanJ,tykwiH wanJ,
,3;PL,nkwiE renqJ,ntkwiE renqJ,ntykwiH renqJ,tykwiH renqJ,
,,,,,,
[14],yla1,was born,tv,h-lh-l,h-lh-l,l-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,ylanA,nlanI,nlyanA,klanA,
,2;SG,ylaG,nlaG,nlyaG,klaG,
,3;SG,ylaE,nlaI,nlyaA,klaA,
,1;PL;INCL,ylanEanE,nlaEanE,nlyaJanI,klanJanI,
,1;PL;EXCL,ylaE waG,nlaE waG,nlyaA waG,klaA waG,
,2;PL,ylaE wanJ,nlaE wanJ,nlyaA wanA,klaA wanA,
,3;PL,ylaE renqJ,nlaE renqJ,nlyaA renqA,klaA renqA,
,,,,,,
[15],sqyu1,cut up,tv,h-lh-l,h-lh-l,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,sqyonA,nsqyonI,nsqyonA,sqyonA,
,2;SG,sqyuG,nsqyuG,nsqyuG,sqyuG,
,3;SG,sqyuE,nsqyuE,nsqyuH,sqyuH,
,1;PL;INCL,sqyonEonE,nsqyonEonE,nsqyonHonI,sqyonHonI,
,1;PL;EXCL,sqyuE waG,nsqyuE waG,nsqyuH waG,sqyuH waG,
,2;PL,sqyuE wanJ,nsqyuE wanJ,nsqyuH wanJ,sqyuH wanJ,
,3;PL,sqyuE renqJ,nsqyuE renqJ,nsqyuH renqJ,sqyuH renqJ,
,,,,,,
[16],ja1,clear up,tv,h-lh-l,h-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,janA,ntjanI,ntjanA,janA,
,2;SG,jaG,ntjaG,ntyjaG,jaG,
,3;SG,jaE,ntjaE,ntjaH,jaH,
,1;PL;INCL,janEanE,ntjanEanE,ntjanHanI,janHanI,
,1;PL;EXCL,jaE waG,ntjaE waG,ntjaH waG,jaH waG,
,2;PL,jaE wanJ,ntjaE wanJ,ntjaH wanJ,jaH wanJ,
,3;PL,jaE renqJ,ntjaE renqJ,ntjaH renqJ,jaH renqJ,
,,,,,,
[16],ji1,to miss an activity,,h-lh-l,h-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,jinA,ntjenI,ntyjinA,jinA,
,2;SG,jiG,ntyjiG,ntyjiG,jiG,
,3;SG,jiE,ntjiE,ntyjiH,jiH,
,1;PL;INCL,jinEinE,ntjinEinE,ntjinHinI,jinHinI,
,1;PL;EXCL,jiE waG,ntjiE waG,ntjiH waG,jiH waG,
,2;PL,jiE wanJ,ntjiE wanJ,ntjiH wanJ,jiH wanJ,
,3;PL,jiE renqJ,ntjiE renqJ,ntjiH renqJ,jiH renqJ,
,,,,,,
[16],ji1,spent money,,h-lh-l,h-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,jinA,ntjenI,ntyjinA,jinA,
,2;SG,jiG,ntjiG,ntyjiG,jiG,
,3;SG,jiE,ntjiE,ntyjiH,jiH,
,1;PL;INCL,jinEinE,ntjenEenE,ntjiHinI,jiHinI,
,1;PL;EXCL,jiE waG,ntjiE waG,ntjiH waG,jiH waG,
,2;PL,jiE wanJ,ntjiE wanJ,ntjiH wanJ,jiH wanJ,
,3;PL,jiE renqJ,ntjiE renqJ,ntjiH renqJ,jiH renqJ,
,,,,,,
[16],ylu1,dug,tv,h-lh-l,h-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,ylonA,nlonI,nlonA,klonA,
,2;SG,yluG,nluG,nluG,kluG,
,3;SG,yluE,nluE,nluH,kluH,
,1;PL;INCL,ylonEonE,nlonEonE,nlonHonI,klonHonI,
,1;PL;EXCL,yluE wanJ,nluE waG,nluH waG,kluH waG,
,2;PL,yluE wanJ,nluE wanJ,nluH wanJ,kluH wanJ,
,3;PL,yluE renqJ,nluE renqJ,nluH renqJ,nluH renqJ,
,,,,,,
[16],nna1,looked for,iv,h-lh-l,h-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,nnanA,nnanI,nnanA,knanA,
,2;SG,nnaG,nnaG,nnaG,knaG,
,3;SG,nnaE,nnaE,nnaH,knaH,
,1;PL;INCL,nnanEanE,nnanEanE,nnanHanI,knaHanI,
,1;PL;EXCL,nnaE waG,nnaE waG,nnaH waG,knaH waG,
,2;PL,nnaE wanJ,nnaE wanJ,nnaH wanJ,knaH wanJ,
,3;PL,nnaE renqJ,nnaE renqJ,nnaH renqJ,knaH renqJ,
,,,,,,
[16],naq1 yqwi24,got lost,iv,h-lh-l,h-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,nanqE yqwenJ,nnanqE yqwenJ,nnanqH yqwenJ,knanqH yqwenJ,
